item,itemLabel,position,positionLabel,start,psid
Q108577107,JoBeth Coleby-Davis,Q108032614,Minister of Transport and Local Government,2021-09-23,Q108577107-16F3EBC0-C980-460D-A678-D9BC213CF48A
Q108674257,Chester Cooper,Q108030468,Minister of Tourism and Aviation,2021-09-17,Q108674257-2D4AA9B7-C2D3-4DA0-A5F8-7EBE92E2A44E
Q108674257,Chester Cooper,Q25917099,Deputy Prime Minister of The Bahamas,2021-09-17,Q108674257-5C21B0C4-7B6F-4123-8AFB-6BFF2CB0CDFB
Q108933174,Pia Glover-Rolle,Q109463037,Minister of State for the Public Service,2021-09-20,Q108933174-3DFD011C-C8B8-4E4D-81D7-7032658D3BD2
Q108938054,Lisa Rahming,Q109462907,Minister of State in the Ministry of Social Services and Urban Development,2021-09-23,Q108938054-44B5F936-1C40-452C-AC99-CBA83CC9DF68
Q109462283,Mario Bowleg,Q108032601,"Minister of Youth, Sports and Culture",2021-09-22,Q109462283-0D8B9CEE-F442-48C2-8237-CCC455727DFA
Q109462441,Alfred Sears,Q108030396,Minister of Public Works,2021-09-22,Q109462441-B58E46D5-F36D-4C82-B3F6-AA152B23F21E
Q109462443,Basil McIntosh,Q109462444,Minister of State for the Environment,2021-09-22,Q109462443-CC95F4FA-9B8D-44B9-86FD-34220C55F377
Q109462470,Clay Sweeting,Q108030421,Minister of Agriculture and Marine Resources,2021-09-22,Q109462470-EAD29AF3-E9D0-4F6E-A215-10F0437B3183
Q109462791,Ginger Moxey,Q109462792,Minister for Grand Bahama,2021-09-20,Q109462791-7A21BB81-A474-4359-B019-EDE8C7997483
Q109462849,Jomo Campbell,Q109462850,Minister of State for Legal Affairs,2021-09-20,Q109462849-9F9B0D76-21A9-4719-9CE5-21210469A058
Q109462898,Keith Bell,Q109462900,Minister of Labour and Immigration,2021-09-20,Q109462898-FE268843-C28F-4335-AB04-B644BF5EB44B
Q109462910,Michael Darville,Q108030381,Minister of Health,2021-09-20,Q109462910-8549F649-BC4C-430C-ADDC-9CD640060011
Q109462938,Michael Halkitis,Q109462942,Minister of Economic Affairs,2021-09-20,Q109462938-18BB1482-DEF5-4A99-A656-A3C0CCCB835E
Q109462938,Michael Halkitis,Q109462958,Leader of Government Business in the Senate,2021-09-20,Q109462938-F785C945-CED1-45DE-AD6C-A76FC1EBA638
Q109462970,Myles LaRoda,Q109462971,Minister of State in the Office of the Prime Minister,2021-09-20,Q109462970-92824AC1-0E3D-4D70-AF50-17F07B944B71
Q109462976,Obediah Wilchcombe,Q108030445,Minister of Social Services and Urban Development,2021-09-20,Q109462976-1C4965BD-B658-47EB-B758-7F01B78FD130
Q109462976,Obediah Wilchcombe,Q109463013,Leader of Government Business in the House of Assembly,2021-09-20,Q109462976-F2BADD6C-B450-4963-93E4-31DD1FD86D91
Q109463063,Vaughn Miller,Q109463066,Minister for the Environment and Natural Resources,2021-09-20,Q109463063-DB635D72-5F06-4742-A6E1-1FDDB157E11F
Q109463421,Zane Lightbourne,Q109463422,Minister of State in the Ministry of Education and Technical & Vocational Training,2021-09-20,Q109463421-EE6492F0-1455-4B8B-81DA-206BC6C54574
Q19561395,Glenys Hanna Martin,Q108030439,Minister of Education,2021-09-20,Q19561395-A6FFF8D4-1408-4159-A5D8-3803E9523589
Q3086904,Fred Mitchell,Q6866141,Minister of Foreign Affairs,2021-09-20,Q3086904-1DD3428C-76BA-49D6-B342-BE6491883A56
Q7183082,"Philip ""Brave"" Davis",Q109463414,Minister of Finance,2021-09-20,Q7183082-9C258C24-5E98-48DE-A9DC-7F04CEB7FACA
Q7183082,"Philip ""Brave"" Davis",Q565424,Prime Minister of the Bahamas,2021-09-17,Q7183082-F0DE8CC7-499E-4B71-8033-6BD979BC6289
Q7384427,Ryan Pinder,Q108030506,Attorney General and Minister of Legal Affairs,2021-09-01,Q7384427-6DD6D5AB-AD5B-4E47-9BFE-72BAA40A0F23
Q7976498,Wayne Munroe,Q108030431,Minister of National Security,2021-09-20,Q7976498-DCF585B2-5D95-42B8-B0BB-D55C12CF892C
